filename,cluster
Catex Token CATT whitepapers - whitepaper.io.txt.vec,-1
Catoshi CZATS whitepapers - whitepaper.io.txt.vec,0
CEEK VR CEEK whitepapers - whitepaper.io.txt.vec,0
Celer Network CELR whitepapers - whitepaper.io.txt.vec,-1
Celo Dollar CUSD whitepapers - whitepaper.io.txt.vec,-1
Celsius CEL whitepapers - whitepaper.io.txt.vec,0
Centrality CENNZ whitepapers - whitepaper.io.txt.vec,0
Certified Diamond Coin DPT whitepapers - whitepaper.io.txt.vec,0
Chain Games CHAIN whitepapers - whitepaper.io.txt.vec,0
Chain XCN whitepapers - whitepaper.io.txt.vec,0
Chainbing CBG whitepapers - whitepaper.io.txt.vec,0
Chainlink LINK whitepapers - whitepaper.io.txt.vec,-1
ChainX PCX whitepapers - whitepaper.io.txt.vec,-1
Chia Network XCH whitepapers - whitepaper.io.txt.vec,-1
Chiliz CHZ whitepapers - whitepaper.io.txt.vec,0
Chromia CHR whitepapers - whitepaper.io.txt.vec,0
Chronicle XNL whitepapers - whitepaper.io.txt.vec,0
Chronobank TIME whitepapers - whitepaper.io.txt.vec,-1
Cindicator CND whitepapers - whitepaper.io.txt.vec,0
Cirus Foundation CIRUS whitepapers - whitepaper.io.txt.vec,0
Civic CVC whitepapers - whitepaper.io.txt.vec,0
Civitas CIV whitepapers - whitepaper.io.txt.vec,0
Clinic Spectrum null whitepapers - whitepaper.io.txt.vec,0
Clipper Coin CCCX whitepapers - whitepaper.io.txt.vec,0
CloakCoin CLOAK whitepapers - whitepaper.io.txt.vec,0
Cloudbric CLB whitepapers - whitepaper.io.txt.vec,-1
CloudCoin CC whitepapers - whitepaper.io.txt.vec,0
CNNS CNNS whitepapers - whitepaper.io.txt.vec,0
Cocos-BCX COCOS whitepapers - whitepaper.io.txt.vec,-1
Codex CDEX whitepapers - whitepaper.io.txt.vec,0
CoinAlpha ALP whitepapers - whitepaper.io.txt.vec,0
CoinFLEX FLEX whitepapers - whitepaper.io.txt.vec,0
CoinPoker CHP whitepapers - whitepaper.io.txt.vec,0
Coldstack CLS whitepapers - whitepaper.io.txt.vec,0
Colizeum ZEUM whitepapers - whitepaper.io.txt.vec,0
Colony Network Token CLNY whitepapers - whitepaper.io.txt.vec,-1
ColossusXT COLX whitepapers - whitepaper.io.txt.vec,0
Cometh MUST whitepapers - whitepaper.io.txt.vec,0
Community Doge Coin CCDOGE whitepapers - whitepaper.io.txt.vec,0
Compound 0x CZRX whitepapers - whitepaper.io.txt.vec,0
Compound Basic Attention Token CBAT whitepapers - whitepaper.io.txt.vec,0
Compound COMP whitepapers - whitepaper.io.txt.vec,0
Compound Dai CDAI whitepapers - whitepaper.io.txt.vec,0
Compound USD Coin CUSDC whitepapers - whitepaper.io.txt.vec,0
Compound USDT CUSDT whitepapers - whitepaper.io.txt.vec,0
Compound Wrapped BTC CWBTC whitepapers - whitepaper.io.txt.vec,0
Concordium CCD whitepapers - whitepaper.io.txt.vec,-1
Conflux Network CFX whitepapers - whitepaper.io.txt.vec,-1
Connector Coin CNCTR (Polygon) whitepapers - whitepaper.io.txt.vec,-1
Constellation DAG whitepapers - whitepaper.io.txt.vec,-1
ContentBox BOX whitepapers - whitepaper.io.txt.vec,-1
CONUN CON whitepapers - whitepaper.io.txt.vec,0
Convergence CONV whitepapers - whitepaper.io.txt.vec,0
Copiosa Coin COP whitepapers - whitepaper.io.txt.vec,0
Coral Swap CORAL whitepapers - whitepaper.io.txt.vec,0
Corgidoge CORGI whitepapers - whitepaper.io.txt.vec,0
Cornatto CNC whitepapers - whitepaper.io.txt.vec,0
Cortex CTXC whitepapers - whitepaper.io.txt.vec,-1
COSMOCHAIN COSM whitepapers - whitepaper.io.txt.vec,0
Cosmos ATOM whitepapers - whitepaper.io.txt.vec,0
COSS COSS whitepapers - whitepaper.io.txt.vec,0
COTI COTI whitepapers - whitepaper.io.txt.vec,-1
CoTrader COT whitepapers - whitepaper.io.txt.vec,0
Counos X CCXX whitepapers - whitepaper.io.txt.vec,0
Covesting COV whitepapers - whitepaper.io.txt.vec,0
CPChain CPC whitepapers - whitepaper.io.txt.vec,0
CRDT CRDT whitepapers - whitepaper.io.txt.vec,0
Creditcoin CTC whitepapers - whitepaper.io.txt.vec,0
Credits CS whitepapers - whitepaper.io.txt.vec,0
Crust CRU whitepapers - whitepaper.io.txt.vec,-1
Cryptaur CPT whitepapers - whitepaper.io.txt.vec,-1
Crypterium CRPT whitepapers - whitepaper.io.txt.vec,0
